TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,TaxAmount,PaymentType
1,12/4/2019,1034,2059,402,0,2048.2,7,Cash
2,12/5/2019,1066,2048,403,1,321.87,9,CreditCard
3,12/6/2019,1116,2041,403,3,3216.84,11,Check
4,12/7/2019,1071,2096,404,2,1613.23,12,Check
5,12/8/2019,1020,2060,401,0,408.38,0,CreditCard
6,12/9/2019,1089,2028,401,0,1275.88,5,Cash
7,12/10/2019,1193,2003,402,1,346.66,2,CreditCard
8,12/11/2019,1005,2079,402,1,855.49,11,
9,12/12/2019,1032,2060,401,1,735.08,13,Cash
10,12/13/2019,1119,2089,403,2,661.63,8,CreditCard
11,12/14/2019,1042,2077,401,,505.65,4,Check
12,12/15/2019,1079,2013,401,2,0,10,Check
13,12/16/2019,1147,2086,404,3,4470.5,102,CreditCard
14,12/17/2019,1183,2025,401,1,503.32,57,Cash
15,12/18/2019,1026,2089,403,0,413.52,11,CreditCard
16,12/19/2019,1144,2005,403,3,1715.12,12,NoInfo
17,12/20/2019,1169,2047,401,2,535.97,72,Cash
18,12/21/2019,1003,2053,404,0,3660.9,5,CreditCard
19,12/22/2019,1110,2046,404,1,30.09,2,NOne
20,12/23/2019,1111,2022,403,3,671.18,11,Check
21,12/24/2019,1119,2055,403,2,?,13,CreditCard
22,12/25/2019,1062,2011,403,3,1229.22,8,Cash
23,12/26/2019,1062,2096,404,3,672.18,4,CreditCard
24,12/27/2019,1086,2003,404,2,924.43,10,Check
25,12/28/2019,1046,2062,402,2,1981.95,,Cash
26,12/29/2019,1066,2043,403,2,698.76,7,CreditCard
27,12/30/2019,1142,2001,402,0,1237.05,9,Check
28,12/31/2019,1061,2092,404,3,482.21,11,Check
29,1/1/2020,1142,2097,402,3,4210.5,12,CreditCard
30,1/2/2020,1165,2091,404,3,4528.95,0,Cash
31,1/3/2020,1004,2011,403,1,737.53,5,CreditCard
32,1/4/2020,1103,2088,402,2,0,2,Check
33,1/5/2020,1169,2074,403,3,0,11,Cash
34,1/6/2020,1141,2067,403,3,872.85,13,CreditCard
35,1/7/2020,1190,2070,403,2,54.69,8,Check
